#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Vasomotor and Allergic Rhinitis,0.592,NA,NA,0.237,NA,NA,NA,NA,0.036,NA,NA,0.044,NA,NA,NA,NA,0.551,0.542,NA,NA,NA,NA,NA,NA,0.070,0.049,NA,NA,NA,NA,NA,NA,0.124,0.077,NA,NA,NA,NA,NA,NA,0.039,0.067,NA,NA,NA,NA,NA,NA,4,0,0,4,0,0,0,0,7,7,0,0,0,0,0,0,7,8,0,0,0,0,0,0,294,NA,NA,620,NA,NA,NA,NA,"19,681","10,512",NA,NA,NA,NA,NA,NA,"19,681","19,734",NA,NA,NA,NA,NA,NA
Other Strabismus,0.602,NA,NA,0.435,NA,NA,NA,NA,0.028,NA,NA,0.055,NA,NA,NA,NA,0.362,0.362,NA,NA,NA,NA,NA,NA,0.158,0.158,NA,NA,NA,NA,NA,NA,0.293,0.293,NA,NA,NA,NA,NA,NA,0.142,0.142,NA,NA,NA,NA,NA,NA,4,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,"1,230",NA,NA,"1,694",NA,NA,NA,NA,"2,924","2,924",NA,NA,NA,NA,NA,NA,"2,924","2,924",NA,NA,NA,NA,NA,NA
Immunological System Functions,0.606,0.619,0.471,0.357,0.310,0.295,0.250,0.153,0.012,0.048,0.035,0.013,0.026,0.038,0.035,0.017,0.489,0.438,NA,0.718,0.476,0.564,0.310,0.490,0.023,0.034,NA,0.054,0.062,0.037,0.055,0.038,0.164,0.037,NA,0.000,0.200,0.070,0.042,0.007,0.071,0.013,NA,0.029,0.093,0.047,0.027,0.015,276,26,19,223,40,26,19,5,163,59,2,6,5,13,5,13,13,66,1,6,5,13,5,13,"16,703","2,100","2,462","32,964","5,131","1,457","2,656","3,173","37,075","22,443",153,"1,173",919,"2,561","2,669","4,424","10,528","23,732",57,"1,173",919,"2,561","2,669","4,424"
Diazepam Effects,0.608,NA,NA,NA,NA,NA,NA,NA,0.110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Energy and Drive Functions,0.613,NA,0.290,0.320,0.292,NA,0.254,NA,0.065,NA,0.026,0.064,0.053,NA,0.060,NA,0.396,0.572,NA,NA,NA,NA,0.283,NA,0.058,0.079,NA,NA,NA,NA,0.056,NA,0.154,0.000,NA,NA,NA,NA,0.478,NA,0.058,0.013,NA,NA,NA,NA,0.125,NA,8,2,3,7,3,2,5,2,5,6,1,1,0,0,4,2,5,6,1,1,0,0,4,2,"2,927",712,"1,799","3,453","1,148",508,"1,503","1,026","5,190","6,194",100,100,NA,NA,"2,102","9,916","5,190","6,194",100,100,NA,NA,"2,102","9,916"
Ulcerative Colitis,0.619,NA,NA,NA,NA,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tic Disorders,0.627,NA,NA,0.340,NA,NA,NA,NA,0.012,NA,NA,0.052,NA,NA,NA,NA,0.451,NA,NA,NA,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA,NA,0.183,NA,NA,NA,NA,NA,NA,NA,0.115,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,1,1,1,1,3,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,"2,659",472,518,"3,781",265,124,141,248,"6,440","1,778",NA,NA,NA,NA,NA,NA,"6,440","1,778",NA,NA,NA,NA,NA,NA
Unclassified,0.627,NA,NA,NA,0.387,NA,NA,NA,0.044,NA,NA,NA,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,3,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,"2,208",722,868,"2,955","2,176",735,775,"1,445","4,545","4,545",NA,NA,"1,457","1,457","1,643","1,643","4,545","4,545",NA,NA,"1,457","1,457","1,643","1,643"
Mental and Behavioural Disorders Due to Use of Alcohol,0.630,0.582,0.593,0.409,0.450,0.378,0.405,0.319,0.015,0.012,0.019,0.020,0.018,0.014,0.019,0.021,0.412,0.436,0.407,0.428,0.399,0.470,0.314,0.370,0.015,0.016,0.022,0.013,0.014,0.015,0.022,0.025,0.214,0.185,0.300,0.159,0.208,0.094,0.252,0.189,0.024,0.027,0.029,0.022,0.016,0.014,0.021,0.024,158,179,138,101,132,178,137,77,98,102,50,79,121,97,87,90,98,105,49,82,98,101,87,88,"94,477","74,956","62,190","94,196","69,714","75,006","49,076","41,645","166,002","134,782","51,481","104,771","112,449","113,390","67,099","71,940","166,002","136,866","50,998","109,398","100,744","115,180","67,099","68,118"
Hearing Functions,0.633,0.545,0.672,0.190,0.186,0.290,0.397,NA,0.048,0.044,0.065,0.040,0.042,0.021,0.032,NA,NA,NA,NA,NA,0.579,0.359,0.667,0.654,NA,NA,NA,NA,0.045,0.054,0.057,0.036,NA,NA,NA,NA,0.073,0.000,0.011,0.000,NA,NA,NA,NA,0.030,0.014,0.023,0.016,9,9,7,7,4,9,7,2,1,1,1,2,4,3,5,13,1,1,1,2,4,3,5,13,589,"3,490",615,587,526,"2,925",662,34,282,282,573,641,"1,316","5,026","1,922","3,792",282,282,573,641,"1,316","5,026","1,922","3,792"
"Water, Mineral and Electrolyte Balance Functions",0.637,0.602,0.601,0.322,0.409,0.351,0.375,0.383,0.025,0.040,0.023,0.037,0.043,0.073,0.022,0.133,0.319,0.467,0.374,0.398,0.367,0.448,0.408,0.471,0.026,0.036,0.035,0.052,0.161,0.078,0.046,0.030,0.170,0.109,0.160,0.149,0.303,0.135,0.256,0.107,0.036,0.033,0.053,0.049,0.126,0.074,0.022,0.033,59,7,38,30,32,7,38,3,17,34,13,16,3,10,10,34,17,33,13,16,3,10,10,33,"6,929",358,"9,489","4,716","1,710",305,"18,410",61,"9,302","7,284","2,177","2,838",455,"1,093","11,926","27,798","9,302","7,183","2,177","2,838",455,"1,093","11,926","27,734"
Mental and Behavioural Disorders Due to Multiple Drug Use and Use of Other Psychoactive Substances,0.638,0.649,0.608,0.404,0.465,0.420,0.462,0.439,0.035,0.023,0.060,0.043,0.038,0.034,0.030,0.078,0.408,0.456,0.410,0.437,0.386,0.455,0.281,0.242,0.051,0.058,0.037,0.050,0.026,0.036,0.031,0.042,0.262,0.258,0.236,0.179,0.216,0.119,0.304,0.335,0.041,0.047,0.036,0.042,0.028,0.027,0.033,0.043,32,37,23,22,21,37,22,11,25,17,13,10,55,37,29,23,25,19,13,9,45,40,29,23,"13,264","9,159","3,446","14,638","3,662","6,737","2,053","1,537","26,531","19,809","11,261","11,831","78,233","36,198","14,329","12,659","26,531","20,934","11,261","11,496","44,513","39,723","14,329","12,680"
Other Behavioural and Emotional Disorders with Onset Usually Occurring In Childhood and Adolescence,0.647,0.729,0.694,0.720,0.239,0.273,0.337,0.239,0.059,0.057,0.075,0.080,0.069,0.091,0.078,0.115,NA,0.639,NA,NA,NA,NA,NA,NA,NA,0.055,NA,NA,NA,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA,15,8,8,7,15,8,7,4,2,7,1,1,1,1,1,1,2,7,1,1,1,1,1,1,"1,886",841,876,"1,652","1,261",646,489,707,"2,057","3,314",375,375,203,203,154,154,"2,057","3,314",375,375,203,203,154,154
Hyperkinetic Disorders,0.651,0.635,0.628,0.260,0.240,0.200,0.230,0.225,0.013,0.018,0.019,0.016,0.021,0.022,0.029,0.023,0.675,0.684,0.515,0.608,0.650,0.683,0.671,0.648,0.010,0.013,0.051,0.030,0.021,0.019,0.022,0.024,0.062,0.046,0.215,0.071,0.067,0.038,0.045,0.027,0.012,0.009,0.055,0.028,0.020,0.015,0.018,0.014,144,83,81,100,82,80,79,44,75,109,12,26,36,48,32,38,75,112,12,27,36,52,27,38,"86,450","30,791","41,861","121,139","53,246","27,761","31,859","42,465","166,827","256,294","7,145","16,554","26,670","32,301","36,664","32,218","166,827","260,233","7,145","16,847","26,670","33,965","26,574","32,218"
Dental Caries,0.662,NA,NA,0.495,NA,NA,NA,NA,0.067,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,57,NA,NA,69,NA,NA,NA,NA,314,230,NA,388,NA,NA,NA,NA,NA,230,NA,388,NA,NA,NA,NA
Conduct Disorders,0.663,0.620,0.675,0.408,0.436,0.411,0.419,0.386,0.009,0.017,0.011,0.010,0.009,0.014,0.011,0.011,0.486,0.478,0.477,0.572,0.461,0.462,0.484,0.474,0.013,0.012,0.026,0.028,0.019,0.021,0.018,0.023,0.183,0.143,0.205,0.117,0.196,0.160,0.201,0.178,0.012,0.013,0.021,0.025,0.013,0.017,0.020,0.024,289,239,192,216,213,234,188,157,165,162,49,49,120,108,87,73,165,171,49,51,120,110,86,78,"147,974","94,422","66,233","192,651","105,609","81,299","52,019","87,739","293,452","245,601","38,274","36,963","115,207","115,198","80,533","66,346","293,452","267,479","38,274","35,617","115,207","123,365","77,711","69,651"
"Diseases of Oral Cavity, Salivary Glands and Jaws",0.667,NA,NA,0.439,0.330,NA,NA,NA,0.042,NA,NA,0.071,0.065,NA,NA,NA,NA,0.490,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,NA,NA,NA,NA,21,2,2,13,14,2,2,2,2,39,0,0,1,1,1,1,2,47,0,0,1,1,1,1,"1,470",408,664,"2,358","1,396",536,584,"1,102","3,294","5,184",NA,NA,472,472,624,624,"3,294","5,640",NA,NA,472,472,624,624
Function of Brain,0.676,0.702,0.706,0.287,0.324,0.304,0.354,0.295,0.006,0.010,0.009,0.006,0.007,0.009,0.009,0.009,0.441,0.563,0.423,0.424,0.598,0.593,0.375,0.514,0.031,0.016,0.021,0.033,0.023,0.020,0.089,0.021,0.040,0.030,0.101,0.035,0.027,0.010,0.283,0.096,0.009,0.007,0.016,0.016,0.031,0.012,0.057,0.021,1010,457,428,594,592,455,426,381,86,212,78,103,13,102,10,128,86,217,78,57,13,100,10,128,"69,722","16,589","19,482","58,951","33,980","15,739","15,357","15,065","13,729","42,708","8,618","8,357","1,488","7,597",738,"11,515","13,729","43,141","8,618","4,737","1,488","7,469",738,"11,515"
General Metabolic Functions,0.682,0.672,0.680,0.371,0.358,0.337,0.379,0.316,0.007,0.012,0.010,0.010,0.010,0.014,0.011,0.013,0.479,0.591,0.551,0.497,0.448,0.547,0.538,0.559,0.021,0.013,0.028,0.020,0.024,0.039,0.024,0.024,0.169,0.054,0.148,0.075,0.136,0.057,0.145,0.075,0.019,0.012,0.024,0.017,0.023,0.022,0.028,0.021,462,223,221,219,293,222,212,100,92,187,48,118,56,43,74,82,92,197,48,119,56,55,67,84,"62,108","15,594","28,436","58,338","37,797","12,532","29,212","19,256","57,803","103,632","8,135","19,169","14,197","9,337","19,229","33,515","59,141","110,306","8,135","19,311","14,197","14,648","16,656","34,452"
Atopic Dermatitis,0.685,0.602,0.567,0.251,0.236,0.183,0.216,0.221,0.046,0.060,0.059,0.033,0.050,0.072,0.051,0.027,0.736,0.781,0.445,0.445,NA,NA,NA,NA,0.048,0.023,0.042,0.042,NA,NA,NA,NA,0.032,0.000,0.000,0.000,NA,NA,NA,NA,0.018,0.004,0.016,0.016,NA,NA,NA,NA,12,8,8,9,11,7,7,6,7,9,3,3,2,2,2,1,7,11,3,3,2,2,2,2,"6,657","1,280","2,207","9,902","3,471","1,183","1,812","1,958","21,014","58,329","3,807","3,807",253,253,443,365,"21,014","67,780","3,807","3,807",253,253,443,443
"Allergy, Unspecified",0.686,NA,NA,0.357,NA,NA,NA,NA,0.046,NA,NA,0.079,NA,NA,NA,NA,0.630,0.668,NA,NA,NA,NA,NA,NA,0.041,0.027,NA,NA,NA,NA,NA,NA,0.082,0.000,NA,NA,NA,NA,NA,NA,0.057,0.009,NA,NA,NA,NA,NA,NA,7,2,2,8,2,2,2,2,7,16,0,0,0,0,0,0,7,17,0,0,0,1,0,1,"1,923",670,977,"3,111","1,418",524,889,"1,309","2,829","8,817",NA,NA,NA,NA,NA,NA,"2,829","12,151",NA,NA,NA,923,NA,"1,432"
Intellectual Functions,0.686,0.808,0.804,0.454,0.377,0.440,0.476,0.448,0.048,0.041,0.029,0.051,0.045,0.055,0.050,0.080,0.670,NA,0.463,0.388,NA,NA,NA,NA,0.026,NA,0.070,0.081,NA,NA,NA,NA,0.123,NA,0.380,0.349,NA,NA,NA,NA,0.041,NA,0.072,0.069,NA,NA,NA,NA,12,3,3,3,12,3,3,3,3,0,7,8,1,0,1,0,3,0,7,9,1,1,1,1,"7,090",311,367,849,"5,963",195,220,434,"1,527",NA,"10,039","9,409",619,NA,682,NA,"1,527",NA,"10,039","10,711",619,619,682,682
Chronic Ischaemic Heart Disease,0.690,0.422,NA,NA,NA,0.341,NA,NA,0.107,0.107,NA,NA,NA,0.051,NA,NA,NA,NA,NA,0.362,NA,0.566,NA,NA,NA,NA,NA,0.064,NA,0.040,NA,NA,NA,NA,NA,0.000,NA,0.000,NA,NA,NA,NA,NA,0.005,NA,0.010,NA,NA,4,3,2,2,2,3,2,0,2,0,1,4,2,3,1,2,2,0,1,4,2,3,1,2,"2,473","2,002",468,240,"2,866","2,147",898,NA,"1,176",NA,"4,118","33,560","4,016","10,360","1,215","9,041","1,176",NA,"4,118","33,560","4,016","10,360","1,215","9,041"
Structure of Cardiovascular System,0.692,0.510,0.595,0.336,0.339,0.328,0.343,0.271,0.033,0.050,0.038,0.023,0.048,0.071,0.027,0.069,0.621,0.528,0.786,0.790,NA,NA,0.540,0.603,0.042,0.031,0.032,0.033,NA,NA,0.083,0.071,0.073,0.019,0.000,0.000,NA,NA,0.066,0.059,0.036,0.017,0.057,0.057,NA,NA,0.045,0.056,15,6,8,12,7,6,8,4,8,17,3,3,2,2,4,3,8,17,3,3,2,2,4,3,"1,280",266,"1,034","1,475",328,158,"1,080",176,"3,808","6,380",319,319,192,192,"1,878","1,631","3,808","6,380",319,319,192,192,"1,878","1,631"
Calculation Functions,0.692,NA,NA,0.415,0.427,NA,NA,0.402,0.012,NA,NA,0.011,0.019,NA,NA,0.048,0.560,0.556,0.599,0.651,NA,NA,NA,NA,0.022,0.023,0.029,0.027,NA,NA,NA,NA,0.129,0.128,0.297,0.158,NA,NA,NA,NA,0.015,0.016,0.049,0.048,NA,NA,NA,NA,61,2,2,24,41,2,2,7,26,21,17,9,0,0,0,0,26,25,17,9,0,0,0,0,"30,166",416,599,"41,069","6,830",418,505,"1,730","65,652","55,116","13,238","9,714",NA,NA,NA,NA,"65,652","65,262","13,238","9,714",NA,NA,NA,NA
Other Nontoxic Goitre,0.693,NA,NA,0.380,NA,NA,NA,NA,0.088,NA,NA,0.038,NA,NA,NA,NA,0.589,0.544,NA,NA,NA,NA,NA,NA,0.114,0.151,NA,NA,NA,NA,NA,NA,0.023,0.000,NA,NA,NA,NA,NA,NA,0.036,0.036,NA,NA,NA,NA,NA,NA,3,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,312,NA,NA,468,NA,NA,NA,NA,780,780,NA,NA,NA,NA,NA,NA,780,780,NA,NA,NA,NA,NA,NA
Religion and Spirituality,0.698,0.702,0.763,0.571,0.545,0.538,0.664,0.505,0.061,0.068,0.050,0.083,0.102,0.089,0.072,0.110,0.312,0.363,NA,NA,0.261,0.232,0.309,0.125,0.035,0.053,NA,NA,0.041,0.062,0.066,0.036,0.348,0.207,NA,NA,0.403,0.384,0.506,0.526,0.052,0.082,NA,NA,0.048,0.063,0.069,0.108,23,21,27,21,19,21,27,17,19,16,0,0,19,10,28,19,19,13,0,0,19,9,28,14,"14,630","3,517","9,023","12,752","7,586","2,255","6,105","4,416","19,992","13,613",NA,NA,"6,782","4,491","19,983","9,685","19,992","12,604",NA,NA,"6,782","4,391","19,983","11,564"
Epilepsy,0.703,0.787,0.710,0.374,0.368,0.321,0.443,0.288,0.055,0.039,0.046,0.038,0.063,0.086,0.056,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,5,5,4,5,6,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,250,77,95,501,372,105,191,286,NA,404,NA,60,NA,NA,NA,NA,NA,404,NA,60,NA,NA,NA,NA
Seeing Functions,0.707,0.558,0.724,NA,0.276,0.179,0.275,NA,0.020,0.046,0.041,NA,0.026,0.037,0.059,NA,NA,NA,0.668,0.777,0.354,0.220,NA,0.706,NA,NA,0.021,0.023,0.079,0.044,NA,0.084,NA,NA,0.060,0.051,0.002,0.000,NA,0.000,NA,NA,0.018,0.018,0.024,0.024,NA,0.034,51,35,8,1,51,35,10,0,1,1,36,13,6,5,1,4,1,1,18,18,6,5,1,4,"4,428","3,004",979,220,"6,257","4,379","1,495",NA,348,348,"3,997","2,970","1,761","1,700",91,875,348,348,"3,205","3,205","1,761","1,700",91,875
Mental Functions of Language,0.707,0.676,0.734,0.446,0.474,0.471,0.492,0.422,0.014,0.041,0.036,0.014,0.026,0.044,0.040,0.029,0.456,0.463,0.492,0.514,0.440,0.411,0.430,0.426,0.023,0.024,0.016,0.019,0.066,0.087,0.084,0.068,0.241,0.219,0.337,0.310,0.381,0.184,0.549,0.232,0.020,0.020,0.029,0.033,0.078,0.064,0.097,0.079,134,21,16,67,87,22,17,22,61,54,94,68,6,5,4,4,61,63,94,65,6,11,4,10,"48,111","4,949","3,076","63,381","16,189","4,867","3,031","4,891","105,173","108,925","180,886","163,002","2,712","2,183","3,528","3,528","105,173","121,964","180,886","162,604","2,712","3,833","3,528","4,974"
Higher-Level Cognitive Functions,0.710,0.604,0.592,0.441,0.431,0.371,0.378,0.383,0.009,0.022,0.024,0.016,0.017,0.018,0.025,0.026,0.507,0.545,0.463,0.527,0.470,0.451,0.480,0.372,0.016,0.015,0.018,0.018,0.021,0.025,0.031,0.041,0.242,0.181,0.232,0.120,0.132,0.081,0.252,0.171,0.020,0.019,0.022,0.029,0.014,0.020,0.042,0.071,419,126,85,188,244,114,73,68,128,148,94,78,63,49,15,22,128,150,94,80,63,62,15,23,"152,197","32,873","13,112","158,626","59,035","31,963","8,831","16,545","219,296","211,160","53,887","38,415","39,668","32,116","6,853","4,492","219,296","217,029","53,887","40,746","39,668","34,822","6,853","4,778"
Exercise Tolerance Functions,0.713,0.599,0.603,0.343,0.277,0.303,0.243,0.231,0.020,0.028,0.040,0.038,0.022,0.027,0.039,0.036,0.526,0.628,0.329,0.483,0.384,0.452,0.268,0.562,0.075,0.032,0.071,0.038,0.048,0.065,0.064,0.075,0.206,0.071,0.165,0.048,0.149,0.202,0.324,0.093,0.092,0.034,0.059,0.028,0.041,0.071,0.069,0.051,77,38,20,44,42,37,20,17,4,17,10,20,27,12,7,12,4,17,6,16,21,12,3,12,"7,927","4,796","2,012","8,677","5,331","3,467","2,023","2,538",684,"2,177","6,443","7,354","3,308","1,246","2,037","1,481",684,"2,177","4,452","6,750","2,543","1,246",779,"1,481"
Structure of Brain,0.718,0.587,0.901,0.337,0.452,0.216,0.658,0.395,0.007,0.013,0.015,0.028,0.009,0.010,0.046,0.070,0.596,0.489,0.541,0.641,0.516,0.522,NA,NA,0.030,0.024,0.011,0.040,0.014,0.008,NA,NA,0.115,0.013,0.204,0.055,0.037,0.001,NA,NA,0.019,0.008,0.009,0.016,0.005,0.003,NA,NA,639,250,7,56,571,250,7,7,76,145,475,42,215,723,0,0,66,167,476,96,215,809,0,0,"26,428","22,907",147,"4,686","18,305","18,700",140,147,"9,977","13,938","33,688","3,494","40,324","140,085",NA,NA,"8,907","16,168","33,714","9,163","40,324","158,946",NA,NA
"Convulsions, Not Elsewhere Classified",0.718,NA,0.687,0.436,0.545,0.560,0.473,0.355,0.028,NA,0.058,0.053,0.051,0.080,0.086,0.125,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,0.109,NA,NA,NA,NA,NA,NA,NA,0.278,NA,NA,NA,NA,NA,NA,NA,0.114,NA,NA,NA,NA,6,2,4,7,5,3,4,3,2,2,0,5,0,0,0,0,2,2,0,5,0,0,0,0,270,57,69,577,173,62,77,104,364,364,NA,"4,918",NA,NA,NA,NA,364,364,NA,"4,918",NA,NA,NA,NA
Mental and Behavioural Disorders Due to Use of Tobacco,0.719,0.667,0.748,0.468,0.479,0.420,0.499,0.320,0.016,0.021,0.019,0.022,0.018,0.020,0.021,0.028,0.436,0.536,0.458,0.522,0.457,0.517,0.481,0.547,0.017,0.024,0.021,0.027,0.020,0.026,0.019,0.023,0.253,0.171,0.276,0.209,0.227,0.149,0.254,0.226,0.030,0.031,0.023,0.030,0.022,0.021,0.025,0.031,110,98,82,72,87,103,84,55,70,57,38,35,73,53,77,57,70,66,39,40,73,58,77,61,"51,102","30,894","21,898","34,186","57,305","38,890","21,433","10,667","86,028","60,562","65,268","73,145","54,527","50,251","43,908","35,428","86,028","81,820","65,751","76,324","54,527","53,593","43,908","36,909"
Pervasive Developmental Disorders,0.725,0.757,0.723,0.430,0.405,0.395,0.472,0.411,0.018,0.016,0.022,0.028,0.031,0.025,0.040,0.032,0.596,0.704,0.336,0.553,0.641,0.742,0.586,0.699,0.032,0.023,0.033,0.044,0.041,0.022,0.037,0.030,0.161,0.069,0.374,0.166,0.131,0.017,0.190,0.070,0.031,0.024,0.097,0.040,0.029,0.012,0.044,0.034,44,29,24,36,29,31,24,26,22,30,4,8,14,17,11,14,22,33,4,8,14,19,11,15,"37,329","15,989","11,573","68,560","21,634","19,074","10,821","20,184","71,831","81,555",826,"13,241","21,067","26,148","11,036","18,816","71,831","97,356",826,"13,241","21,067","32,056","11,036","19,232"
"Structure of the Nervous System, Unspecified",0.728,0.768,0.697,0.292,0.307,0.276,0.331,0.274,0.022,0.029,0.031,0.040,0.052,0.084,0.068,0.086,NA,0.697,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,423,177,246,522,297,126,171,225,NA,945,NA,NA,NA,NA,NA,NA,NA,945,NA,NA,NA,NA,NA,NA
Asthma,0.734,0.713,0.670,0.329,0.469,0.330,0.324,0.216,0.032,0.030,0.037,0.031,0.032,0.038,0.033,0.029,0.535,0.641,0.741,0.748,0.696,0.688,0.554,0.623,0.048,0.047,0.098,0.073,0.034,0.044,0.037,0.021,0.094,0.041,0.089,0.006,0.100,0.109,0.126,0.065,0.020,0.013,0.060,0.024,0.055,0.069,0.050,0.049,61,25,24,46,38,26,25,22,35,36,3,3,9,8,9,8,35,37,3,3,9,8,9,8,"19,617","5,545","6,843","32,459","11,878","5,667","6,262","9,016","36,903","56,776","1,702","1,702","1,111","1,092","1,530","1,511","36,903","75,161","1,702","1,702","1,111","1,092","1,530","1,511"
Structure of Eyeball,0.735,0.762,0.731,0.370,0.334,0.296,0.337,0.328,0.022,0.030,0.020,0.019,0.024,0.030,0.022,0.022,0.728,0.743,0.835,0.853,0.592,0.726,0.623,0.698,0.040,0.031,0.044,0.030,0.039,0.066,0.033,0.028,0.022,0.006,0.072,0.058,0.082,0.024,0.043,0.022,0.009,0.006,0.057,0.055,0.025,0.024,0.017,0.010,121,24,52,86,55,24,53,26,42,61,11,17,25,9,30,37,42,61,11,17,25,20,30,37,"19,276","2,982","7,536","13,580","3,831","1,126","5,900","2,475","22,478","27,408","1,198","2,169","6,720","1,704","9,001","11,424","22,478","27,408","1,198","2,169","6,720","6,005","9,001","11,424"
Structure of Trunk,0.742,0.713,0.768,0.393,0.465,0.442,0.406,0.257,0.020,0.037,0.013,0.026,0.028,0.041,0.017,0.052,NA,0.792,0.802,0.797,NA,0.731,0.736,0.745,NA,0.039,0.053,0.025,NA,0.045,0.022,0.019,NA,0.000,NA,0.000,NA,0.000,0.057,0.028,NA,0.048,NA,0.019,NA,0.019,0.020,0.025,52,24,72,14,42,24,72,4,1,3,4,4,2,8,17,43,1,3,0,4,2,8,16,42,"5,399","1,578","8,894","2,515","2,739","1,300","12,830",328,769,447,260,"2,808",436,"2,772","4,255","16,344",769,447,NA,"2,808",436,"2,772","3,805","16,088"
